top_k_h3_contribution_units,test_accuracy,test_balanced_accuracy,test_auc,units,threshold
1,0.6973333333333334,0.6988038770880594,0.5576105275883403,0,-3.8621758521686904
2,0.7126666666666667,0.7140914230449221,0.5342534187639115,"0,56",-7.36186887220903
3,0.7926666666666666,0.7927496604347857,0.8779405280861323,"0,56,5",-5.023666169860146
4,0.726,0.7273255772608643,0.8054042426095674,"0,56,5,60",-9.769045917626583
5,0.884,0.8843451547066228,0.9360284025856735,"0,56,5,60,11",-8.689474130110307
8,0.93,0.9302149038905996,0.960772217520854,"0,56,5,60,11,61,9,15",-12.386376283241042
12,0.9333333333333333,0.9334807745642543,0.9759050924115176,"0,56,5,60,11,61,9,15,47,6,33,49",-17.07707025238962
16,0.9386666666666666,0.938835593545772,0.977818035713016,"0,56,5,60,11,61,9,15,47,6,33,49,36,59,55,54",-21.39020538330078
24,0.9306666666666666,0.9310060375050668,0.9903677260153179,"0,56,5,60,11,61,9,15,47,6,33,49,36,59,55,54,44,58,62,10,17,31,12,63",-13.449865827271442
32,0.9193333333333333,0.9197470505827721,0.9920602186017735,"0,56,5,60,11,61,9,15,47,6,33,49,36,59,55,54,44,58,62,10,17,31,12,63,13,41,39,19,45,25,50,23",-8.415544339093325
64,0.8926666666666667,0.8932218516437801,0.99380782386699,"0,56,5,60,11,61,9,15,47,6,33,49,36,59,55,54,44,58,62,10,17,31,12,63,13,41,39,19,45,25,50,23,29,28,20,57,40,32,16,51,37,38,3,8,35,14,7,52,30,21,1,34,18,2,4,22,26,24,27,42,46,43,53,48",-5.658229558973603
