unit,abs_gap,gap,weight
0,2.082154,2.082154,-3.713536262512207
56,2.000861,2.000861,-3.332310199737549
5,1.8187264,1.8187264,-3.7886226177215576
60,1.8152827,1.8152827,-3.1873068809509277
11,1.6235397,1.6235397,-2.7128114700317383
61,1.5925262,1.5925262,-2.658953905105591
9,1.4269247,1.4269247,-4.237557411193848
15,1.1233397,1.1233397,-2.3393445014953613
47,0.7877368,0.7877368,-3.8130264282226562
6,0.73186356,0.73186356,-3.8676724433898926
33,0.70420516,0.70420516,-3.7125630378723145
49,0.5947735,0.5947735,-2.893324613571167
36,0.57412976,0.57412976,-3.127659797668457
59,0.5223585,0.5223585,-1.8181638717651367
55,0.5075032,0.5075032,-2.3013463020324707
54,0.36635578,0.36635578,-2.9752414226531982
44,0.33871508,0.33871508,-1.8878917694091797
58,0.11261171,0.11261171,-1.102960467338562
62,0.07743269,0.07743269,-1.0353788137435913
10,0.047534704,-0.047534704,0.38443025946617126
17,0.04389596,-0.04389596,0.3672011196613312
31,0.04336524,0.04336524,-0.7930563688278198
12,0.037374258,-0.037374258,0.544456958770752
63,0.034934282,-0.034934282,0.7237433791160583
13,0.034555197,0.034555197,-0.9380837082862854
41,0.03418398,-0.03418398,0.8184534907341003
39,0.027563691,0.027563691,-0.6713621616363525
19,0.022901803,0.022901803,-0.5692055225372314
45,0.022230566,0.022230566,-1.1447023153305054
25,0.0202187,0.0202187,-0.5206489562988281
50,0.020007133,-0.020007133,0.6307124495506287
23,0.019398212,-0.019398212,0.834733247756958
29,0.01740563,-0.01740563,0.45219022035598755
28,0.013558984,-0.013558984,0.43289414048194885
20,0.011011839,-0.011011839,-1.0466827154159546
57,0.009973824,0.009973824,-0.2780722677707672
40,0.009588629,-0.009588629,-0.386922687292099
32,0.006642908,-0.006642908,-0.3270317316055298
16,0.0058644414,0.0058644414,-0.23089513182640076
51,0.005858898,-0.005858898,-1.3606727123260498
37,0.0054970384,0.0054970384,-0.08022309094667435
38,0.0053304434,-0.0053304434,-0.1078905388712883
3,0.0047306046,0.0047306046,0.06757466495037079
8,0.00415498,-0.00415498,0.19237591326236725
35,0.003908742,-0.003908742,-0.07199732959270477
14,0.0028462708,-0.0028462708,0.11394054442644119
7,0.0023061484,-0.0023061484,0.20200924575328827
52,0.0022208393,0.0022208393,-0.04829231649637222
30,0.000995636,0.000995636,0.7144184112548828
21,0.00053005107,-0.00053005107,0.020878782495856285
1,0.0004556626,-0.0004556626,0.09900720417499542
34,0.0001282692,-0.0001282692,0.7958365082740784
2,0.0,0.0,-0.05521271377801895
4,0.0,0.0,0.012930837459862232
18,0.0,0.0,-0.03511491045355797
22,0.0,0.0,-0.0601811520755291
24,0.0,0.0,-0.06260355561971664
26,0.0,0.0,0.062108058482408524
27,0.0,0.0,0.08059197664260864
42,0.0,0.0,-0.03272046521306038
43,0.0,0.0,-0.04754626750946045
46,0.0,0.0,0.09126457571983337
48,0.0,0.0,-0.07750318944454193
53,0.0,0.0,0.025022827088832855
