probe,feature,accuracy,balanced_accuracy,f1,auc
mlp_32,number,0.9713333333333334,0.9715217018356493,0.9731417863835103,0.9959952393206382
mlp_32,question,0.9973333333333333,0.9972752043596731,0.9973958333333334,0.9999750997787438
mlp_32,color,0.9686666666666667,0.9694454136966011,0.96913985554826,0.9964786475727947
mlp_32,food,0.978,0.9780044053411651,0.9779559118236473,0.9935235440418559
mlp_32,sentiment,0.972,0.971676054557208,0.9732824427480916,0.9929604177091885
mlp_32,country,0.9546666666666667,0.9548360486698289,0.9558441558441558,0.9876778717261291
mlp_32,person,0.9986666666666667,0.9986910994764397,0.9986893840104849,0.9999324208968814
mlp_32,body_part,0.978,0.9779323525490022,0.9776271186440678,0.9977012311658296
tree_depth3,number,0.89,0.8887995367987648,0.8982109808760025,0.9308897323726196
tree_depth3,question,0.866,0.8649856645869053,0.874296435272045,0.9062133166383279
tree_depth3,color,0.7513333333333333,0.7502634783413682,0.7646687697160883,0.8180868980053978
tree_depth3,food,0.9106666666666666,0.9106505078231251,0.9118421052631579,0.953834584594817
tree_depth3,sentiment,0.764,0.7654178961746201,0.7633689839572193,0.8188238038675852
tree_depth3,country,0.7886666666666666,0.7895389024398916,0.8177113283496262,0.7997871939468502
tree_depth3,person,0.9086666666666666,0.9086970748918735,0.9100459619172685,0.9386826343045755
tree_depth3,body_part,0.8926666666666667,0.892390772923241,0.887333799860042,0.9266225165562914
forest_200,number,0.9666666666666667,0.9665894664607995,0.9688667496886675,0.9947943472293704
forest_200,question,0.9973333333333333,0.9973321191511159,0.9973890339425587,0.9999813248340578
forest_200,color,0.9586666666666667,0.959306838331114,0.9594240837696335,0.993918635039771
forest_200,food,0.9746666666666667,0.9746648438486113,0.9747340425531915,0.9928355428187428
forest_200,sentiment,0.9686666666666667,0.9685302356559384,0.9699680511182108,0.9937208279389321
forest_200,country,0.9453333333333334,0.9454313367135776,0.9460526315789474,0.9884290042027861
forest_200,person,0.99,0.9900587582517641,0.990151017728168,0.9995954145800137
forest_200,body_part,0.976,0.9759278190141785,0.9755766621438263,0.9967367438552825
poly2_logreg,number,0.9786666666666667,0.9784589981128838,0.9801242236024845,0.997296205752845
poly2_logreg,question,1.0,1.0,1.0,1.0
poly2_logreg,color,0.9766666666666667,0.9769082596899501,0.9773462783171522,0.9975557043060906
poly2_logreg,food,0.9833333333333333,0.983339525936935,0.9832775919732442,0.9960355485076419
poly2_logreg,sentiment,0.9813333333333333,0.9811909769401591,0.9821200510855683,0.9958382231688271
poly2_logreg,country,0.9586666666666667,0.95885038507762,0.9598445595854922,0.9922700023467333
poly2_logreg,person,0.9993333333333333,0.9993455497382199,0.9993451211525868,0.9999946648076485
poly2_logreg,body_part,0.9813333333333333,0.9813058358149251,0.9811320754716981,0.9985581581403618
rbf_svm,number,0.976,0.9760679361811632,0.9775561097256857,0.9972908446274376
rbf_svm,question,1.0,1.0,1.0,1.0
rbf_svm,color,0.9746666666666667,0.9749802391243974,0.9753566796368353,0.9974755926482421
rbf_svm,food,0.9846666666666667,0.9846728616406428,0.9846153846153847,0.9963217712387045
rbf_svm,sentiment,0.9813333333333333,0.9811909769401591,0.9821200510855683,0.9972468519550735
rbf_svm,country,0.962,0.9621589236316055,0.962914769030579,0.9924006727302465
rbf_svm,person,0.9993333333333333,0.9993455497382199,0.9993451211525868,1.0
rbf_svm,body_part,0.9793333333333333,0.9793013022801014,0.9790964261631827,0.9979839103960176
